Community_Area,Primary_Type,First_Year,First_Year_Rate,Last_Year,Last_Year_Rate,Rate_Change,Status
34,"PUBLIC PEACE VIOLATION",2001,0.0000,2024,100.0000,100.0000,Improved
4,"INTERFERENCE WITH PUBLIC OFFICER",2001,0.0000,2024,100.0000,100.0000,Improved
52,"PUBLIC PEACE VIOLATION",2001,0.0000,2024,100.0000,100.0000,Improved
67,STALKING,2001,0.0000,2024,100.0000,100.0000,Improved
28,"INTERFERENCE WITH PUBLIC OFFICER",2001,0.0000,2024,91.6667,91.6667,Improved
16,"PUBLIC PEACE VIOLATION",2001,33.3333,2024,100.0000,66.6667,Improved
53,"PUBLIC PEACE VIOLATION",2001,0.0000,2024,66.6667,66.6667,Improved
11,"CRIMINAL TRESPASS",2001,0.0000,2024,61.5385,61.5385,Improved
63,"PUBLIC PEACE VIOLATION",2001,20.0000,2024,80.0000,60.0000,Improved
67,"PUBLIC PEACE VIOLATION",2001,45.4545,2024,100.0000,54.5455,Improved
49,"PUBLIC PEACE VIOLATION",2001,27.2727,2024,80.0000,52.7273,Improved
4,"PUBLIC PEACE VIOLATION",2001,0.0000,2024,50.0000,50.0000,Improved
60,"PUBLIC PEACE VIOLATION",2001,50.0000,2024,100.0000,50.0000,Improved
19,"CRIMINAL TRESPASS",2001,0.0000,2024,45.0000,45.0000,Improved
43,"WEAPONS VIOLATION",2001,0.0000,2024,44.6154,44.6154,Improved
32,"INTERFERENCE WITH PUBLIC OFFICER",2001,50.0000,2024,92.5926,42.5926,Improved
71,"PUBLIC PEACE VIOLATION",2001,15.0000,2024,55.5556,40.5556,Improved
22,"PUBLIC PEACE VIOLATION",2001,0.0000,2024,40.0000,40.0000,Improved
23,STALKING,2001,0.0000,2024,40.0000,40.0000,Improved
22,ARSON,2001,0.0000,2024,40.0000,40.0000,Improved
68,"PUBLIC PEACE VIOLATION",2001,36.3636,2024,71.4286,35.0650,Improved
6,"PUBLIC PEACE VIOLATION",2001,40.0000,2024,75.0000,35.0000,Improved
57,"WEAPONS VIOLATION",2001,0.0000,2024,33.3333,33.3333,Improved
23,ARSON,2001,0.0000,2024,33.3333,33.3333,Improved
32,HOMICIDE,2001,0.0000,2024,33.3333,33.3333,Improved
37,BURGLARY,2001,0.0000,2024,33.3333,33.3333,Improved
69,"PUBLIC PEACE VIOLATION",2001,0.0000,2024,33.3333,33.3333,Improved
76,ROBBERY,2001,0.0000,2024,33.3333,33.3333,Improved
72,ROBBERY,2001,0.0000,2024,33.3333,33.3333,Improved
23,"INTERFERENCE WITH PUBLIC OFFICER",2001,50.0000,2024,83.3333,33.3333,Improved
32,"PUBLIC PEACE VIOLATION",2001,24.3243,2024,54.5455,30.2212,Improved
53,"OTHER OFFENSE",2001,6.7568,2024,35.7143,28.9575,Improved
25,"PUBLIC PEACE VIOLATION",2001,14.2857,2024,42.8571,28.5714,Improved
13,"OFFENSE INVOLVING CHILDREN",2001,0.0000,2024,28.5714,28.5714,Improved
35,"PUBLIC PEACE VIOLATION",2001,0.0000,2024,28.5714,28.5714,Improved
28,"PUBLIC PEACE VIOLATION",2001,3.9216,2024,30.7692,26.8476,Improved
66,"PUBLIC PEACE VIOLATION",2001,33.3333,2024,60.0000,26.6667,Improved
58,"CRIMINAL TRESPASS",2001,33.3333,2024,60.0000,26.6667,Improved
59,"CRIMINAL TRESPASS",2001,0.0000,2024,25.0000,25.0000,Improved
65,"SEX OFFENSE",2001,0.0000,2024,25.0000,25.0000,Improved
27,"PUBLIC PEACE VIOLATION",2001,33.3333,2024,57.1429,23.8096,Improved
23,"PUBLIC PEACE VIOLATION",2001,30.0000,2024,52.9412,22.9412,Improved
19,"OTHER OFFENSE",2001,7.1429,2024,29.6296,22.4867,Improved
72,BURGLARY,2001,0.0000,2024,22.2222,22.2222,Improved
7,"WEAPONS VIOLATION",2001,50.0000,2024,71.4286,21.4286,Improved
66,"WEAPONS VIOLATION",2001,37.5000,2024,58.8889,21.3889,Improved
33,ROBBERY,2001,0.0000,2024,20.8333,20.8333,Improved
32,"OTHER OFFENSE",2001,11.1111,2024,31.4961,20.3850,Improved
31,STALKING,2001,0.0000,2024,20.0000,20.0000,Improved
53,ARSON,2001,0.0000,2024,20.0000,20.0000,Improved
13,BATTERY,2001,0.0000,2024,19.5402,19.5402,Improved
63,"OTHER OFFENSE",2001,17.6471,2024,37.0370,19.3899,Improved
11,ASSAULT,2001,0.0000,2024,19.3548,19.3548,Improved
62,"OTHER OFFENSE",2001,0.0000,2024,19.1489,19.1489,Improved
67,"OTHER OFFENSE",2001,7.5758,2024,26.1364,18.5606,Improved
74,"OTHER OFFENSE",2001,0.0000,2024,18.1818,18.1818,Improved
21,"CRIMINAL TRESPASS",2001,20.0000,2024,38.0952,18.0952,Improved
54,"OTHER OFFENSE",2001,0.0000,2024,17.8571,17.8571,Improved
49,"OTHER OFFENSE",2001,15.5556,2024,33.3333,17.7777,Improved
46,"CRIMINAL TRESPASS",2001,0.0000,2024,17.6471,17.6471,Improved
43,"PUBLIC PEACE VIOLATION",2001,0.0000,2024,16.6667,16.6667,Improved
25,"INTERFERENCE WITH PUBLIC OFFICER",2001,83.3333,2024,100.0000,16.6667,Improved
43,STALKING,2001,0.0000,2024,16.6667,16.6667,Improved
28,INTIMIDATION,2001,0.0000,2024,16.6667,16.6667,Improved
5,"WEAPONS VIOLATION",2001,33.3333,2024,50.0000,16.6667,Improved
10,BATTERY,2001,0.0000,2024,16.4384,16.4384,Improved
29,"PUBLIC PEACE VIOLATION",2001,22.2222,2024,38.4615,16.2393,Improved
42,"OTHER OFFENSE",2001,0.0000,2024,15.7895,15.7895,Improved
60,ROBBERY,2001,0.0000,2024,15.7895,15.7895,Improved
51,"OTHER OFFENSE",2001,0.0000,2024,15.6863,15.6863,Improved
51,THEFT,2001,0.0000,2024,15.6627,15.6627,Improved
36,BATTERY,2001,0.0000,2024,15.2174,15.2174,Improved
41,BURGLARY,2001,0.0000,2024,15.0000,15.0000,Improved
13,"OTHER OFFENSE",2001,0.0000,2024,15.0000,15.0000,Improved
74,BATTERY,2001,0.0000,2024,14.6341,14.6341,Improved
39,BURGLARY,2001,0.0000,2024,14.2857,14.2857,Improved
19,HOMICIDE,2001,85.7143,2024,100.0000,14.2857,Improved
61,"OTHER OFFENSE",2001,18.5185,2024,32.8000,14.2815,Improved
27,"WEAPONS VIOLATION",2001,67.8571,2024,81.5385,13.6814,Improved
49,"SEX OFFENSE",2001,16.6667,2024,30.0000,13.3333,Improved
44,"OTHER OFFENSE",2001,10.0000,2024,23.0769,13.0769,Improved
52,"OTHER OFFENSE",2001,0.0000,2024,12.7660,12.7660,Improved
12,ASSAULT,2001,0.0000,2024,12.5000,12.5000,Improved
68,"OTHER OFFENSE",2001,14.2857,2024,26.6234,12.3377,Improved
74,"CRIMINAL DAMAGE",2001,0.0000,2024,11.7647,11.7647,Improved
46,"OTHER OFFENSE",2001,9.0909,2024,20.3704,11.2795,Improved
32,"WEAPONS VIOLATION",2001,83.3333,2024,94.4444,11.1111,Improved
26,"CRIMINAL SEXUAL ASSAULT",2001,0.0000,2024,11.1111,11.1111,Improved
4,"CRIMINAL DAMAGE",2001,0.0000,2024,10.9890,10.9890,Improved
4,"OTHER OFFENSE",2001,0.0000,2024,10.6383,10.6383,Improved
55,"MOTOR VEHICLE THEFT",2001,0.0000,2024,10.0000,10.0000,Improved
27,"CRIMINAL SEXUAL ASSAULT",2001,0.0000,2024,10.0000,10.0000,Improved
57,"OTHER OFFENSE",2001,14.2857,2024,24.0000,9.7143,Improved
28,"WEAPONS VIOLATION",2001,68.1818,2024,77.7778,9.5960,Improved
75,"OTHER OFFENSE",2001,9.3750,2024,18.9189,9.5439,Improved
44,"WEAPONS VIOLATION",2001,40.0000,2024,49.5050,9.5050,Improved
70,"OTHER OFFENSE",2001,0.0000,2024,9.1954,9.1954,Improved
54,ASSAULT,2001,0.0000,2024,9.0909,9.0909,Improved
34,BURGLARY,2001,0.0000,2024,9.0909,9.0909,Improved
19,"OFFENSE INVOLVING CHILDREN",2001,0.0000,2024,9.0909,9.0909,Improved
1,"CRIMINAL SEXUAL ASSAULT",2001,0.0000,2024,9.0909,9.0909,Improved
76,"OTHER OFFENSE",2001,19.5652,2024,28.5714,9.0062,Improved
75,BURGLARY,2001,6.2500,2024,14.2857,8.0357,Improved
43,"OTHER OFFENSE",2001,5.8824,2024,13.7652,7.8828,Improved
22,"OTHER OFFENSE",2001,10.0000,2024,17.8571,7.8571,Improved
66,"SEX OFFENSE",2001,0.0000,2024,7.6923,7.6923,Improved
57,ROBBERY,2001,0.0000,2024,7.6923,7.6923,Improved
59,THEFT,2001,5.0000,2024,12.6126,7.6126,Improved
22,THEFT,2001,1.9802,2024,9.5364,7.5562,Improved
61,ROBBERY,2001,3.5714,2024,11.1111,7.5397,Improved
12,"MOTOR VEHICLE THEFT",2001,0.0000,2024,7.4074,7.4074,Improved
36,ASSAULT,2001,0.0000,2024,7.1429,7.1429,Improved
11,THEFT,2001,0.0000,2024,7.0707,7.0707,Improved
13,ASSAULT,2001,0.0000,2024,6.8182,6.8182,Improved
55,BATTERY,2001,9.0909,2024,15.5556,6.4647,Improved
6,ROBBERY,2001,3.7037,2024,10.1266,6.4229,Improved
75,BATTERY,2001,13.2530,2024,19.6429,6.3899,Improved
55,"OTHER OFFENSE",2001,0.0000,2024,6.3830,6.3830,Improved
39,ROBBERY,2001,0.0000,2024,6.2500,6.2500,Improved
4,ROBBERY,2001,0.0000,2024,6.0606,6.0606,Improved
59,BATTERY,2001,14.2857,2024,20.0000,5.7143,Improved
73,"OTHER OFFENSE",2001,18.4000,2024,24.0385,5.6385,Improved
36,"MOTOR VEHICLE THEFT",2001,0.0000,2024,5.5556,5.5556,Improved
65,ROBBERY,2001,13.3333,2024,18.7500,5.4167,Improved
37,THEFT,2001,0.0000,2024,5.2632,5.2632,Improved
12,"CRIMINAL DAMAGE",2001,0.0000,2024,5.2632,5.2632,Improved
8,"PUBLIC PEACE VIOLATION",2001,42.1053,2024,47.3684,5.2631,Improved
2,"OTHER OFFENSE",2001,11.7647,2024,16.9811,5.2164,Improved
71,"OTHER OFFENSE",2001,15.0628,2024,20.0837,5.0209,Improved
51,"CRIMINAL DAMAGE",2001,0.0000,2024,4.9587,4.9587,Improved
18,"CRIMINAL DAMAGE",2001,0.0000,2024,4.8780,4.8780,Improved
58,THEFT,2001,1.9231,2024,6.7073,4.7842,Improved
11,"MOTOR VEHICLE THEFT",2001,0.0000,2024,4.7619,4.7619,Improved
20,"DECEPTIVE PRACTICE",2001,0.0000,2024,4.7619,4.7619,Improved
2,THEFT,2001,0.0000,2024,4.7468,4.7468,Improved
42,BURGLARY,2001,0.0000,2024,4.5455,4.5455,Improved
73,ROBBERY,2001,9.8039,2024,14.2857,4.4818,Improved
8,"WEAPONS VIOLATION",2001,88.8889,2024,93.3333,4.4444,Improved
62,"CRIMINAL DAMAGE",2001,2.5641,2024,6.9767,4.4126,Improved
72,"CRIMINAL DAMAGE",2001,0.0000,2024,4.3478,4.3478,Improved
13,"CRIMINAL DAMAGE",2001,0.0000,2024,4.2553,4.2553,Improved
54,"CRIMINAL DAMAGE",2001,0.0000,2024,4.2254,4.2254,Improved
4,THEFT,2001,0.0000,2024,4.2056,4.2056,Improved
75,ROBBERY,2001,7.6923,2024,11.7647,4.0724,Improved
41,ASSAULT,2001,0.0000,2024,3.9474,3.9474,Improved
27,BURGLARY,2001,4.1667,2024,8.1081,3.9414,Improved
44,"CRIMINAL DAMAGE",2001,0.0000,2024,3.9007,3.9007,Improved
42,THEFT,2001,0.0000,2024,3.8793,3.8793,Improved
70,"CRIMINAL DAMAGE",2001,0.0000,2024,3.8462,3.8462,Improved
61,BURGLARY,2001,6.1728,2024,10.0000,3.8272,Improved
42,ROBBERY,2001,0.0000,2024,3.7736,3.7736,Improved
46,"DECEPTIVE PRACTICE",2001,0.0000,2024,3.7736,3.7736,Improved
63,THEFT,2001,3.2258,2024,6.9519,3.7261,Improved
16,ROBBERY,2001,5.2632,2024,8.8889,3.6257,Improved
57,"CRIMINAL DAMAGE",2001,0.0000,2024,3.5714,3.5714,Improved
40,"CRIMINAL DAMAGE",2001,0.0000,2024,3.5398,3.5398,Improved
19,THEFT,2001,4.8780,2024,8.3933,3.5153,Improved
4,BATTERY,2001,16.6667,2024,20.1613,3.4946,Improved
22,BURGLARY,2001,1.6667,2024,5.1282,3.4615,Improved
38,ROBBERY,2001,0.0000,2024,3.4483,3.4483,Improved
38,BATTERY,2001,11.4155,2024,14.8276,3.4121,Improved
43,THEFT,2001,0.0000,2024,3.4068,3.4068,Improved
16,"OTHER OFFENSE",2001,13.3333,2024,16.6667,3.3334,Improved
34,ASSAULT,2001,16.6667,2024,20.0000,3.3333,Improved
72,ASSAULT,2001,0.0000,2024,3.3333,3.3333,Improved
55,THEFT,2001,0.0000,2024,3.1250,3.1250,Improved
39,"CRIMINAL DAMAGE",2001,0.0000,2024,3.0928,3.0928,Improved
64,"MOTOR VEHICLE THEFT",2001,0.0000,2024,3.0769,3.0769,Improved
22,"DECEPTIVE PRACTICE",2001,0.0000,2024,3.0000,3.0000,Improved
3,"OTHER OFFENSE",2001,17.4312,2024,20.4082,2.9770,Improved
72,THEFT,2001,0.0000,2024,2.8986,2.8986,Improved
5,THEFT,2001,0.0000,2024,2.8571,2.8571,Improved
13,THEFT,2001,0.0000,2024,2.8037,2.8037,Improved
14,"CRIMINAL DAMAGE",2001,0.0000,2024,2.7273,2.7273,Improved
25,"CRIMINAL SEXUAL ASSAULT",2001,0.0000,2024,2.6316,2.6316,Improved
10,THEFT,2001,0.0000,2024,2.5641,2.5641,Improved
66,"OTHER OFFENSE",2001,22.0588,2024,24.5614,2.5026,Improved
4,BURGLARY,2001,0.0000,2024,2.5000,2.5000,Improved
70,THEFT,2001,0.0000,2024,2.4390,2.4390,Improved
2,ASSAULT,2001,7.6923,2024,10.0840,2.3917,Improved
65,"OTHER OFFENSE",2001,12.5000,2024,14.8649,2.3649,Improved
21,BURGLARY,2001,4.1667,2024,6.4516,2.2849,Improved
45,"MOTOR VEHICLE THEFT",2001,0.0000,2024,2.2727,2.2727,Improved
41,"CRIMINAL DAMAGE",2001,0.0000,2024,2.2222,2.2222,Improved
49,"WEAPONS VIOLATION",2001,55.5556,2024,57.6923,2.1367,Improved
67,ROBBERY,2001,2.0408,2024,4.1096,2.0688,Improved
57,"MOTOR VEHICLE THEFT",2001,0.0000,2024,2.0000,2.0000,Improved
67,BATTERY,2001,14.5260,2024,16.4894,1.9634,Improved
10,"CRIMINAL DAMAGE",2001,0.0000,2024,1.9231,1.9231,Improved
39,"OTHER OFFENSE",2001,0.0000,2024,1.9231,1.9231,Improved
12,THEFT,2001,0.0000,2024,1.8868,1.8868,Improved
46,ROBBERY,2001,0.0000,2024,1.8868,1.8868,Improved
