year,Beat,Arrest_Count,Total_Crime_Count,Arrest_Success_Rate
2001,1221,1,1,100.00
2001,310,1,1,100.00
2001,1925,1,1,100.00
2001,1531,1280,2074,61.72
2001,134,3,5,60.00
2001,211,1658,2780,59.64
2001,1231,864,1517,56.95
2001,1023,723,1309,55.23
2001,2113,1087,2047,53.10
2001,221,894,1698,52.65
2001,1125,651,1274,51.10
2001,1131,485,969,50.05
2001,1124,514,1048,49.05
2001,2033,406,831,48.86
2001,1112,1045,2144,48.74
2001,1113,597,1227,48.66
2001,1523,853,1754,48.63
2001,1822,829,1713,48.39
2001,1532,828,1728,47.92
2001,1823,945,1974,47.87
2001,122,737,1545,47.70
2001,1331,488,1034,47.20
2001,2311,576,1241,46.41
2001,214,507,1104,45.92
2001,2122,587,1297,45.26
2001,1524,755,1682,44.89
2001,1121,796,1781,44.69
2001,1114,288,645,44.65
2001,925,453,1026,44.15
2001,921,327,746,43.83
2001,1134,464,1072,43.28
2001,1913,636,1472,43.21
2001,1135,540,1253,43.10
2001,2023,300,697,43.04
2001,2024,411,963,42.68
2001,634,659,1548,42.57
2001,2533,775,1860,41.67
2001,224,374,920,40.65
2001,1115,371,915,40.55
2001,1222,435,1074,40.50
2001,821,468,1163,40.24
2001,2312,355,903,39.31
2001,2313,309,790,39.11
2001,622,372,959,38.79
2001,1122,582,1501,38.77
2001,2324,250,648,38.58
2001,131,459,1201,38.22
2001,313,678,1778,38.13
2001,123,500,1323,37.79
2001,1021,510,1360,37.50
2001,1332,298,797,37.39
2001,933,317,849,37.34
2001,1522,661,1778,37.18
2001,1132,429,1154,37.18
2001,935,470,1266,37.12
2001,333,471,1283,36.71
2001,2535,544,1483,36.68
2001,2431,441,1208,36.51
2001,1533,574,1578,36.38
2001,2422,527,1454,36.24
2001,212,442,1227,36.02
2001,623,684,1907,35.87
2001,2111,498,1389,35.85
2001,924,421,1186,35.50
2001,222,350,992,35.28
2001,1333,231,658,35.11
2001,231,343,979,35.04
2001,1211,466,1337,34.85
2001,1833,461,1336,34.51
2001,1123,363,1053,34.47
2001,1011,432,1260,34.29
2001,312,629,1839,34.20
2001,1433,572,1687,33.91
2001,1232,114,337,33.83
2001,931,317,939,33.76
2001,1512,413,1224,33.74
2001,833,582,1734,33.56
2001,1012,376,1123,33.48
2001,1014,347,1049,33.08
2001,2322,202,612,33.01
2001,1821,374,1136,32.92
2001,2331,244,746,32.71
2001,712,539,1652,32.63
2001,1634,395,1214,32.54
2001,2531,421,1296,32.48
2001,934,400,1235,32.39
2001,1024,332,1025,32.39
2001,1513,310,960,32.29
2001,1713,280,871,32.15
2001,932,334,1044,31.99
2001,1223,357,1118,31.93
2001,1651,424,1329,31.90
2001,1423,522,1639,31.85
2001,1832,340,1078,31.54
2001,424,426,1351,31.53
2001,1111,443,1409,31.44
2001,713,529,1692,31.26
2001,825,600,1927,31.14
2001,311,263,849,30.98
2001,2022,217,702,30.91
2001,914,424,1372,30.90
2001,434,179,585,30.60
2001,1034,401,1314,30.52
2001,232,344,1129,30.47
2001,533,552,1816,30.40
2001,1233,216,712,30.34
2001,2123,344,1136,30.28
2001,2222,371,1226,30.26
2001,1033,303,1005,30.15
2001,915,376,1248,30.13
2001,132,523,1736,30.13
2001,2424,305,1014,30.08
2001,233,349,1167,29.91
2001,814,392,1312,29.88
2001,1311,325,1091,29.79
2001,823,628,2140,29.35
2001,1213,304,1040,29.23
2001,2532,392,1345,29.15
2001,2112,308,1057,29.14
2001,2234,354,1222,28.97
2001,913,337,1169,28.83
2001,1032,214,745,28.72
2001,726,300,1052,28.52
2001,2525,253,891,28.40
2001,1824,416,1465,28.40
2001,2432,398,1402,28.39
2001,621,499,1759,28.37
2001,512,485,1718,28.23
2001,1224,281,999,28.13
2001,1924,280,996,28.11
2001,2534,456,1631,27.96
2001,234,287,1028,27.92
2001,1022,334,1200,27.83
2001,421,694,2515,27.59
2001,723,416,1513,27.50
2001,513,446,1641,27.18
2001,1723,392,1443,27.17
2001,832,411,1513,27.16
2001,1922,174,641,27.15
2001,714,279,1029,27.11
2001,2223,313,1155,27.10
2001,2132,330,1219,27.07
2001,1724,269,996,27.01
2001,2133,146,543,26.89
2001,2522,329,1229,26.77
2001,2332,199,747,26.64
2001,522,443,1664,26.62
2001,1911,171,643,26.59
2001,1133,314,1191,26.36
2001,2221,275,1051,26.17
2001,912,393,1521,25.84
2001,1413,295,1142,25.83
2001,1422,397,1537,25.83
2001,2521,385,1493,25.79
2001,2032,174,677,25.70
2001,113,299,1167,25.62
2001,1732,328,1290,25.43
2001,423,594,2343,25.35
2001,1931,247,975,25.33
2001,1511,283,1121,25.25
2001,321,471,1866,25.24
2001,922,272,1082,25.14
2001,2433,322,1281,25.14
2001,422,302,1203,25.10
2001,1633,333,1328,25.08
2001,732,240,969,24.77
2001,1313,237,958,24.74
2001,1421,345,1395,24.73
2001,532,250,1012,24.70
2001,432,355,1446,24.55
2001,734,224,915,24.48
2001,2524,305,1247,24.46
2001,711,351,1440,24.38
2001,2515,303,1245,24.34
2001,1722,261,1073,24.32
2001,1013,252,1037,24.30
2001,2512,392,1614,24.29
2001,2232,241,994,24.25
2001,1813,170,701,24.25
2001,1733,283,1173,24.13
2001,624,430,1786,24.08
2001,1031,293,1218,24.06
2001,1912,198,826,23.97
2001,824,336,1404,23.93
2001,725,346,1457,23.75
2001,2124,218,920,23.70
2001,2131,164,692,23.70
2001,2012,152,645,23.57
2001,722,234,993,23.57
2001,1731,276,1172,23.55
2001,524,322,1370,23.50
2001,733,313,1332,23.50
2001,133,61,262,23.28
2001,531,296,1273,23.25
2001,1623,238,1026,23.20
2001,611,321,1386,23.16
2001,1624,250,1084,23.06
2001,1322,165,719,22.95
2001,1834,471,2057,22.90
2001,1324,226,989,22.85
2001,715,203,891,22.78
2001,223,179,789,22.69
2001,612,373,1651,22.59
2001,1932,219,975,22.46
2001,613,290,1296,22.38
2001,2233,256,1145,22.36
2001,2333,200,895,22.35
2001,1923,250,1120,22.32
2001,815,318,1430,22.24
2001,322,262,1181,22.18
2001,431,277,1254,22.09
2001,2423,206,934,22.06
2001,1434,337,1532,22.00
2001,2011,212,965,21.97
2001,2031,146,666,21.92
2001,411,257,1184,21.71
2001,1323,255,1178,21.65
2001,334,274,1280,21.41
2001,831,319,1495,21.34
2001,1831,306,1438,21.28
2001,822,254,1200,21.17
2001,614,251,1187,21.15
2001,724,207,980,21.12
2001,2013,164,778,21.08
2001,1711,184,880,20.91
2001,324,331,1590,20.82
2001,735,236,1145,20.61
2001,414,378,1849,20.44
2001,1432,241,1179,20.44
2001,1312,187,918,20.37
2001,1811,190,933,20.36
2001,433,194,956,20.29
2001,332,280,1383,20.25
2001,1712,256,1275,20.08
2001,1632,161,806,19.98
2001,834,266,1338,19.88
2001,2213,183,923,19.83
2001,2212,285,1442,19.76
2001,511,364,1852,19.65
2001,911,218,1116,19.53
2001,2323,107,553,19.35
2001,323,253,1309,19.33
2001,1812,149,774,19.25
2001,1612,86,451,19.07
2001,1814,131,695,18.85
2001,1412,195,1046,18.64
2001,1414,209,1123,18.61
2001,731,202,1088,18.57
2001,633,152,824,18.45
2001,331,284,1539,18.45
2001,413,245,1333,18.38
2001,813,316,1724,18.33
2001,1431,202,1116,18.10
2001,1933,197,1090,18.07
2001,631,292,1623,17.99
2001,213,128,721,17.75
2001,632,252,1423,17.71
2001,523,260,1470,17.69
2001,1424,220,1252,17.57
2001,2523,197,1132,17.40
2001,2413,206,1185,17.38
2001,2513,110,636,17.30
2001,2412,175,1026,17.06
2001,1622,185,1087,17.02
2001,124,145,861,16.84
2001,2511,125,749,16.69
2001,835,224,1357,16.51
2001,923,147,893,16.46
2001,314,162,985,16.45
2001,1621,50,308,16.23
2001,2211,160,987,16.21
2001,412,228,1409,16.18
2001,1411,175,1101,15.89
2001,2514,182,1149,15.84
2001,111,167,1097,15.22
2001,1631,98,648,15.12
2001,1611,93,617,15.07
2001,112,139,929,14.96
2001,2411,151,1016,14.86
2001,811,128,933,13.72
2001,1212,107,806,13.28
2001,812,114,875,13.03
2001,1613,60,464,12.93
2001,1614,97,774,12.53
2001,215,0,3,0.00
2002,925,1,1,100.00
2002,312,3,3,100.00
2002,1311,2,2,100.00
2002,1023,3,3,100.00
2002,1231,6,6,100.00
2002,1713,2,2,100.00
2002,633,5,5,100.00
2002,935,2,2,100.00
2002,621,5,5,100.00
2002,2024,1,1,100.00
2002,2112,1,1,100.00
2002,1132,4,4,100.00
2002,2431,1,1,100.00
2002,1134,3,3,100.00
2002,1432,1,1,100.00
2002,915,3,3,100.00
2002,122,1,1,100.00
2002,134,6,6,100.00
2002,1333,1,1,100.00
2002,322,3,3,100.00
2002,1912,1,1,100.00
2002,1622,1,1,100.00
2002,1633,1,1,100.00
2002,323,2,2,100.00
2002,432,1,1,100.00
2002,2312,1,1,100.00
2002,1731,1,1,100.00
2002,1115,3,3,100.00
2002,1822,6,6,100.00
2002,715,1,1,100.00
2002,1032,2,2,100.00
2002,1114,2,2,100.00
2002,921,2,2,100.00
2002,1624,2,2,100.00
2002,612,1,1,100.00
2002,1911,1,1,100.00
2002,2525,4,4,100.00
2002,133,1,1,100.00
2002,2032,1,1,100.00
2002,1733,1,1,100.00
2002,2522,1,1,100.00
2002,2234,1,1,100.00
2002,334,1,1,100.00
2002,614,1,1,100.00
2002,1211,3,3,100.00
2002,212,2,2,100.00
2002,1522,6,6,100.00
2002,1131,2,2,100.00
2002,422,2,2,100.00
2002,1623,2,2,100.00
2002,1332,1,1,100.00
2002,613,3,3,100.00
2002,2311,2,2,100.00
2002,1922,2,2,100.00
2002,815,1,1,100.00
2002,2331,1,1,100.00
2002,833,3,3,100.00
2002,1913,7,8,87.50
2002,1533,6,7,85.71
2002,1113,6,7,85.71
2002,1223,5,6,83.33
2002,412,4,5,80.00
2002,1222,4,5,80.00
2002,1821,4,5,80.00
2002,2524,4,5,80.00
2002,2422,7,9,77.78
2002,631,6,8,75.00
2002,2424,3,4,75.00
2002,2512,3,4,75.00
2002,1033,3,4,75.00
2002,2523,3,4,75.00
2002,814,3,4,75.00
2002,523,3,4,75.00
2002,1414,3,4,75.00
2002,1034,3,4,75.00
2002,832,3,4,75.00
2002,1125,3,4,75.00
2002,1011,5,7,71.43
2002,2532,5,7,71.43
2002,524,5,7,71.43
2002,431,6,9,66.67
2002,1012,2,3,66.67
2002,332,2,3,66.67
2002,2022,2,3,66.67
2002,1611,2,3,66.67
2002,1524,4,6,66.67
2002,912,2,3,66.67
2002,411,4,6,66.67
2002,313,2,3,66.67
2002,321,4,6,66.67
2002,1532,4,6,66.67
2002,2515,2,3,66.67
2002,531,2,3,66.67
2002,732,2,3,66.67
2002,1724,2,3,66.67
2002,1523,2,3,66.67
2002,1122,2,3,66.67
2002,735,4,6,66.67
2002,512,3,5,60.00
2002,1121,6,10,60.00
2002,2232,3,5,60.00
2002,611,4,7,57.14
2002,1531,5,9,55.56
2002,1511,5,9,55.56
2002,712,5,9,55.56
2002,1133,6,11,54.55
2002,825,2,4,50.00
2002,1014,1,2,50.00
2002,1723,1,2,50.00
2002,421,3,6,50.00
2002,1421,2,4,50.00
2002,2513,2,4,50.00
2002,1324,1,2,50.00
2002,1814,1,2,50.00
2002,532,1,2,50.00
2002,2013,1,2,50.00
2002,333,2,4,50.00
2002,1123,1,2,50.00
2002,434,1,2,50.00
2002,214,1,2,50.00
2002,2433,1,2,50.00
2002,835,2,4,50.00
2002,2122,2,4,50.00
2002,1233,2,4,50.00
2002,511,3,6,50.00
2002,1923,1,2,50.00
2002,911,1,2,50.00
2002,932,1,2,50.00
2002,1831,1,2,50.00
2002,722,2,4,50.00
2002,2534,4,8,50.00
2002,1423,1,2,50.00
2002,324,5,10,50.00
2002,711,3,6,50.00
2002,1021,2,4,50.00
2002,233,2,4,50.00
2002,213,1,2,50.00
2002,311,1,2,50.00
2002,513,2,4,50.00
2002,2322,1,2,50.00
2002,331,1,2,50.00
2002,413,1,2,50.00
2002,231,1,2,50.00
2002,2113,1,2,50.00
2002,1433,1,2,50.00
2002,1331,1,2,50.00
2002,1022,2,4,50.00
2002,1112,4,9,44.44
2002,423,3,7,42.86
2002,824,3,7,42.86
2002,733,2,5,40.00
2002,726,2,5,40.00
2002,623,2,5,40.00
2002,2533,2,5,40.00
2002,931,2,5,40.00
2002,424,2,5,40.00
2002,1031,2,5,40.00
2002,1111,5,13,38.46
2002,2531,3,8,37.50
2002,934,3,8,37.50
2002,2222,2,6,33.33
2002,1411,1,3,33.33
2002,222,2,6,33.33
2002,2332,1,3,33.33
2002,2535,1,3,33.33
2002,731,2,6,33.33
2002,2211,1,3,33.33
2002,2221,1,3,33.33
2002,725,2,6,33.33
2002,1313,1,3,33.33
2002,1823,1,3,33.33
2002,1323,1,3,33.33
2002,533,1,3,33.33
2002,1824,1,3,33.33
2002,724,1,3,33.33
2002,924,1,3,33.33
2002,1413,1,3,33.33
2002,223,1,3,33.33
2002,713,2,7,28.57
2002,823,2,7,28.57
2002,433,1,4,25.00
2002,923,1,4,25.00
2002,211,1,4,25.00
2002,2123,1,4,25.00
2002,734,1,4,25.00
2002,914,1,4,25.00
2002,723,1,4,25.00
2002,2223,1,4,25.00
2002,624,1,4,25.00
2002,1013,1,4,25.00
2002,414,2,9,22.22
2002,834,2,9,22.22
2002,632,1,5,20.00
2002,1135,1,5,20.00
2002,1513,1,8,12.50
2002,913,1,8,12.50
2002,314,0,3,0.00
2002,1711,0,3,0.00
2002,1512,0,3,0.00
2002,2213,0,1,0.00
2002,2413,0,3,0.00
2002,1312,0,1,0.00
2002,111,0,1,0.00
2002,622,0,2,0.00
2002,1434,0,1,0.00
2002,1213,0,1,0.00
2002,1924,0,3,0.00
2002,714,0,6,0.00
2002,1124,0,3,0.00
2002,131,0,1,0.00
2002,2124,0,2,0.00
2002,1632,0,1,0.00
2002,2333,0,2,0.00
2002,2012,0,1,0.00
2002,1834,0,2,0.00
2002,522,0,4,0.00
2002,221,0,2,0.00
2002,1412,0,3,0.00
2002,1932,0,3,0.00
2002,1614,0,1,0.00
2002,811,0,4,0.00
2002,812,0,1,0.00
2002,1933,0,1,0.00
2002,1931,0,1,0.00
2002,1832,0,2,0.00
2002,821,0,2,0.00
2002,922,0,1,0.00
2002,2033,0,2,0.00
2002,124,0,1,0.00
2002,1024,0,1,0.00
2002,113,0,1,0.00
2002,813,0,1,0.00
2002,822,0,2,0.00
2002,234,0,1,0.00
2002,2411,0,2,0.00
2002,634,0,1,0.00
2002,1431,0,1,0.00
2002,2323,0,1,0.00
2002,1732,0,1,0.00
2002,2521,0,1,0.00
2002,1712,0,1,0.00
2002,933,0,2,0.00
2002,224,0,1,0.00
2002,831,0,1,0.00
2002,1224,0,1,0.00
2002,2212,0,1,0.00
2003,1032,1,1,100.00
2003,213,2,2,100.00
2003,2032,1,1,100.00
2003,1433,3,3,100.00
2003,831,1,1,100.00
2003,2233,2,2,100.00
2003,2111,1,1,100.00
2003,1115,3,3,100.00
2003,925,7,7,100.00
2003,2313,1,1,100.00
2003,2525,2,2,100.00
2003,814,3,3,100.00
2003,2022,1,1,100.00
2003,832,3,3,100.00
2003,1532,3,3,100.00
2003,1724,3,3,100.00
2003,811,2,2,100.00
2003,2515,2,2,100.00
2003,733,1,1,100.00
2003,214,1,1,100.00
2003,1723,1,1,100.00
2003,1412,1,1,100.00
2003,1125,3,3,100.00
2003,1623,1,1,100.00
2003,2024,2,2,100.00
2003,2524,1,1,100.00
2003,821,1,1,100.00
2003,231,3,3,100.00
2003,1923,1,1,100.00
2003,1215,1,1,100.00
2003,1421,1,1,100.00
2003,732,1,1,100.00
2003,334,1,1,100.00
2003,2432,1,1,100.00
2003,812,1,1,100.00
2003,2521,2,2,100.00
2003,1231,8,8,100.00
2003,913,3,3,100.00
2003,1523,3,3,100.00
2003,2013,2,2,100.00
2003,1612,1,1,100.00
2003,934,6,7,85.71
2003,524,5,6,83.33
2003,1135,5,6,83.33
2003,1311,5,6,83.33
2003,2422,5,6,83.33
2003,1122,4,5,80.00
2003,2424,4,5,80.00
2003,323,4,5,80.00
2003,1332,4,5,80.00
2003,931,3,4,75.00
2003,723,3,4,75.00
2003,935,3,4,75.00
2003,134,3,4,75.00
2003,1223,3,4,75.00
2003,1022,3,4,75.00
2003,412,3,4,75.00
2003,722,3,4,75.00
2003,1531,6,8,75.00
2003,1413,8,11,72.73
