year,Block,Total_Crime_Count
2001,"100XX W OHARE ST",1324
2002,"017XX W HOWARD ST",5
2003,"016XX N HARLEM AVE",6
2003,"039XX S WALLACE ST",6
2004,"016XX N HARLEM AVE",8
2005,"017XX W HOWARD ST",6
2006,"017XX W HOWARD ST",14
2007,"017XX W HOWARD ST",13
2008,"076XX S RHODES AVE",5
2009,"017XX W HOWARD ST",13
2010,"016XX N HARLEM AVE",8
2011,"016XX N HARLEM AVE",9
2012,"016XX N HARLEM AVE",8
2012,"017XX W HOWARD ST",8
2013,"017XX W HOWARD ST",6
2014,"016XX N HARLEM AVE",5
2015,"017XX W HOWARD ST",14
2016,"017XX W HOWARD ST",11
2017,"017XX W HOWARD ST",6
2018,"017XX W HOWARD ST",9
2019,"017XX W HOWARD ST",8
2020,"017XX W HOWARD ST",6
2021,"062XX S MORGAN ST",5
2022,"116XX W IRVING PARK RD",19
2023,"001XX N STATE ST",269
2024,"001XX N STATE ST",315
