year,month,Total_Crimes
2001,1,37153
2001,2,33353
2001,3,40015
2001,4,39437
2001,5,41098
2001,6,40685
2001,7,39099
2001,8,21930
2001,9,20303
2001,10,20235
2001,11,1739
2001,12,61
2002,1,58
2002,2,50
2002,3,56
2002,4,60
2002,5,74
2002,6,78
2002,7,84
2002,8,100
2002,9,85
2002,10,78
2002,11,55
2002,12,82
2003,1,55
2003,2,56
2003,3,82
2003,4,84
2003,5,89
2003,6,76
2003,7,92
2003,8,68
2003,9,74
2003,10,77
2003,11,73
2003,12,65
2004,1,47
2004,2,53
2004,3,68
2004,4,55
2004,5,50
2004,6,70
2004,7,66
2004,8,72
2004,9,55
2004,10,53
2004,11,53
2004,12,46
2005,1,49
2005,2,40
2005,3,55
2005,4,58
2005,5,66
2005,6,70
2005,7,82
2005,8,79
2005,9,49
2005,10,63
2005,11,56
2005,12,41
2006,1,49
2006,2,43
2006,3,65
2006,4,59
2006,5,66
2006,6,68
2006,7,87
2006,8,50
2006,9,74
2006,10,69
2006,11,54
2006,12,48
2007,1,51
2007,2,44
2007,3,72
2007,4,58
2007,5,50
2007,6,66
2007,7,66
2007,8,65
2007,9,77
2007,10,60
2007,11,50
2007,12,48
2008,1,57
2008,2,47
2008,3,53
2008,4,62
2008,5,65
2008,6,72
2008,7,83
2008,8,76
2008,9,78
2008,10,76
2008,11,60
2008,12,55
2009,1,50
2009,2,43
2009,3,45
2009,4,63
2009,5,64
2009,6,69
2009,7,79
2009,8,62
2009,9,60
2009,10,52
2009,11,58
2009,12,56
2010,1,35
2010,2,34
2010,3,56
2010,4,68
2010,5,65
2010,6,64
2010,7,61
2010,8,83
2010,9,47
2010,10,62
2010,11,54
2010,12,34
2011,1,43
2011,2,34
2011,3,38
2011,4,44
2011,5,53
2011,6,63
2011,7,71
2011,8,59
2011,9,54
2011,10,63
2011,11,54
2011,12,50
2012,1,61
2012,2,40
2012,3,69
2012,4,57
2012,5,65
2012,6,64
2012,7,66
2012,8,71
2012,9,62
2012,10,52
2012,11,56
2012,12,38
2013,1,64
2013,2,25
2013,3,32
2013,4,39
2013,5,60
2013,6,65
2013,7,74
2013,8,68
2013,9,59
2013,10,48
2013,11,45
2013,12,49
2014,1,27
2014,2,28
2014,3,38
2014,4,49
2014,5,55
2014,6,52
2014,7,54
2014,8,63
2014,9,57
2014,10,58
2014,11,51
2014,12,55
2015,1,46
2015,2,28
2015,3,45
2015,4,44
2015,5,61
2015,6,61
2015,7,69
2015,8,75
2015,9,74
2015,10,51
2015,11,53
2015,12,49
2016,1,70
2016,2,64
2016,3,66
2016,4,55
2016,5,78
2016,6,94
2016,7,84
2016,8,107
2016,9,80
2016,10,104
2016,11,100
2016,12,73
2017,1,69
2017,2,69
2017,3,60
2017,4,66
2017,5,73
2017,6,102
2017,7,99
2017,8,78
2017,9,89
2017,10,73
2017,11,55
2017,12,56
2018,1,66
2018,2,56
2018,3,47
2018,4,55
2018,5,76
2018,6,72
2018,7,82
2018,8,83
2018,9,72
2018,10,77
2018,11,69
2018,12,65
2019,1,43
2019,2,34
2019,3,53
2019,4,81
2019,5,69
2019,6,63
2019,7,58
2019,8,65
2019,9,76
2019,10,63
2019,11,51
2019,12,42
2020,1,53
2020,2,45
2020,3,39
2020,4,71
2020,5,101
2020,6,108
2020,7,125
2020,8,82
2020,9,99
2020,10,79
2020,11,74
2020,12,73
2021,1,75
2021,2,52
2021,3,57
2021,4,69
2021,5,86
2021,6,111
2021,7,143
2021,8,105
2021,9,136
2021,10,105
2021,11,100
2021,12,94
2022,1,90
2022,2,77
2022,3,63
2022,4,94
2022,5,119
2022,6,130
2022,7,128
2022,8,135
2022,9,135
2022,10,112
2022,11,520
2022,12,1742
2023,1,289
2023,2,268
2023,3,328
2023,4,358
2023,5,440
2023,6,582
2023,7,708
2023,8,1331
2023,9,18853
2023,10,22892
2023,11,21205
2023,12,21069
2024,1,19231
2024,2,19608
2024,3,20546
2024,4,19957
2024,5,20470
