Season,Year,Crime_Count
Autumn,2001,42277
Autumn,2002,218
Autumn,2003,224
Autumn,2004,161
Autumn,2005,168
Autumn,2006,197
Autumn,2007,187
Autumn,2008,214
Autumn,2009,170
Autumn,2010,163
Autumn,2011,171
Autumn,2012,170
Autumn,2013,152
Autumn,2014,166
Autumn,2015,178
Autumn,2016,284
Autumn,2017,217
Autumn,2018,218
Autumn,2019,190
Autumn,2020,252
Autumn,2021,341
Autumn,2022,767
Autumn,2023,62950
Spring,2001,120550
Spring,2002,190
Spring,2003,255
Spring,2004,173
Spring,2005,179
Spring,2006,190
Spring,2007,180
Spring,2008,180
Spring,2009,172
Spring,2010,189
Spring,2011,135
Spring,2012,191
Spring,2013,131
Spring,2014,142
Spring,2015,150
Spring,2016,199
Spring,2017,199
Spring,2018,178
Spring,2019,203
Spring,2020,211
Spring,2021,212
Spring,2022,276
Spring,2023,1126
Spring,2024,60973
Summer,2001,101714
Summer,2002,262
Summer,2003,236
Summer,2004,208
Summer,2005,231
Summer,2006,205
Summer,2007,197
Summer,2008,231
Summer,2009,210
Summer,2010,208
Summer,2011,193
Summer,2012,201
Summer,2013,207
Summer,2014,169
Summer,2015,205
Summer,2016,285
Summer,2017,279
Summer,2018,237
Summer,2019,186
Summer,2020,315
Summer,2021,359
Summer,2022,393
Summer,2023,2621
Winter,2001,70567
Winter,2002,190
Winter,2003,176
Winter,2004,146
Winter,2005,130
Winter,2006,140
Winter,2007,143
Winter,2008,159
Winter,2009,149
Winter,2010,103
Winter,2011,127
Winter,2012,139
Winter,2013,138
Winter,2014,110
Winter,2015,123
Winter,2016,207
Winter,2017,194
Winter,2018,187
Winter,2019,119
Winter,2020,171
Winter,2021,221
Winter,2022,1909
Winter,2023,21626
Winter,2024,38839
