year,FBI_Code,Crime_Count
2001,6,67116
2001,08B,54706
2001,14,38721
2001,26,34689
2001,18,32431
2001,7,18727
2001,5,17403
2001,08A,16802
2001,3,12409
2001,04B,11627
2001,11,7837
2001,04A,5607
2001,16,4158
2001,15,2881
2001,17,1861
2001,10,1339
2001,2,1328
2001,22,1176
2001,20,999
2001,24,932
2001,9,737
2001,01A,666
2001,19,651
2001,13,257
2001,12,48
2002,01A,657
2002,08B,77
2002,6,68
2002,08A,33
2002,3,13
2002,2,3
2002,26,3
2002,5,2
2002,14,2
2002,04B,1
2002,10,1
2003,01A,600
2003,6,96
2003,08B,77
2003,08A,44
2003,3,43
2003,5,13
2003,26,8
2003,2,2
2003,17,2
2003,14,2
2003,18,1
2003,04B,1
2003,04A,1
2003,9,1
2004,01A,454
2004,6,86
2004,08B,66
2004,08A,47
2004,3,8
2004,5,7
2004,2,6
2004,26,5
2004,18,4
2004,10,2
2004,14,2
2004,04B,1
2005,01A,451
2005,6,96
2005,08B,69
2005,08A,35
2005,3,29
2005,26,7
2005,5,5
2005,2,4
2005,14,4
2005,18,3
2005,9,2
2005,10,1
2005,04B,1
2005,16,1
2006,01A,470
2006,6,106
2006,08B,65
2006,08A,41
2006,3,19
2006,14,6
2006,26,5
2006,5,3
2006,2,3
2006,7,3
2006,18,3
2006,04A,2
2006,19,2
2006,04B,1
2006,16,1
2006,9,1
2006,20,1
2007,01A,448
2007,6,100
2007,08B,61
2007,08A,35
2007,5,23
2007,3,20
2007,14,6
2007,26,4
2007,04B,2
2007,18,2
2007,17,1
2007,11,1
2007,2,1
2007,10,1
2007,19,1
2007,9,1
2008,01A,513
2008,6,94
2008,3,53
2008,08B,48
2008,08A,27
2008,5,17
2008,14,9
2008,18,7
2008,2,6
2008,9,2
2008,26,2
2008,11,1
2008,04B,1
2008,10,1
2008,22,1
2008,7,1
2008,17,1
2009,01A,461
2009,6,97
2009,08B,52
2009,08A,32
2009,3,17
2009,5,11
2009,2,8
2009,14,8
2009,18,4
2009,26,3
2009,17,1
2009,16,1
2009,9,1
2009,11,1
2009,19,1
2009,7,1
2009,04B,1
2009,10,1
2010,01A,438
2010,6,92
2010,08B,50
2010,08A,30
2010,3,14
2010,5,11
2010,2,9
2010,18,6
2010,14,4
2010,9,2
2010,26,2
2010,7,2
2010,17,1
2010,04A,1
2010,11,1
2011,01A,437
2011,6,73
2011,08B,48
2011,08A,14
2011,3,12
2011,2,12
2011,5,7
2011,14,7
2011,17,4
2011,18,3
2011,26,3
2011,04A,2
2011,04B,1
2011,7,1
2011,11,1
2011,10,1
2012,01A,514
2012,6,81
2012,08B,45
2012,08A,27
2012,2,9
2012,5,6
2012,3,5
2012,18,5
2012,17,2
2012,04B,2
2012,14,2
2012,11,1
2012,7,1
2012,9,1
2013,01A,430
2013,6,69
2013,08B,48
