year,Location_Description,Crime_Count
2001,STREET,104402
2001,RESIDENCE,64920
2001,SIDEWALK,20016
2001,APARTMENT,19131
2001,OTHER,14252
2001,"PARKING LOT / GARAGE (NON RESIDENTIAL)",11077
2001,ALLEY,7501
2001,"SCHOOL - PUBLIC BUILDING",7363
2001,"RESIDENCE - GARAGE",7007
2001,"RESIDENCE - PORCH / HALLWAY",6359
2002,STREET,353
2002,AUTO,100
2002,ALLEY,62
2002,APARTMENT,55
2002,HOUSE,35
2002,OTHER,35
2002,RESIDENCE,24
2002,PORCH,20
2002,"PARKING LOT",17
2002,SIDEWALK,14
2003,STREET,350
2003,AUTO,105
2003,APARTMENT,63
2003,ALLEY,52
2003,HOUSE,39
2003,SIDEWALK,30
2003,RESIDENCE,29
2003,OTHER,28
2003,PORCH,22
2003,YARD,14
2004,STREET,307
2004,APARTMENT,62
2004,AUTO,51
2004,ALLEY,36
2004,OTHER,29
2004,HOUSE,22
2004,RESIDENCE,18
2004,SIDEWALK,15
2004,"PARKING LOT",14
2004,PORCH,14
2005,STREET,324
2005,APARTMENT,55
2005,AUTO,54
2005,ALLEY,35
2005,SIDEWALK,31
2005,OTHER,27
2005,HOUSE,26
2005,RESIDENCE,16
2005,"SMALL RETAIL STORE",14
2005,HALLWAY,12
2005,PORCH,12
2006,STREET,368
2006,APARTMENT,56
2006,ALLEY,49
2006,AUTO,40
2006,SIDEWALK,32
2006,OTHER,25
2006,HOUSE,23
2006,RESIDENCE,15
2006,"GROCERY FOOD STORE",14
2006,"PARKING LOT",10
2007,STREET,323
2007,APARTMENT,85
2007,AUTO,52
2007,ALLEY,43
2007,OTHER,27
2007,SIDEWALK,23
2007,HOUSE,23
2007,RESIDENCE,13
2007,"GROCERY FOOD STORE",11
2007,PORCH,10
2008,STREET,372
2008,AUTO,58
2008,APARTMENT,54
2008,ALLEY,46
2008,HOUSE,41
2008,RESIDENCE,26
2008,OTHER,23
2008,SIDEWALK,17
2008,PORCH,17
2008,"SMALL RETAIL STORE",9
2009,STREET,338
2009,AUTO,55
2009,APARTMENT,47
2009,ALLEY,41
2009,HOUSE,29
2009,SIDEWALK,28
2009,RESIDENCE,19
2009,OTHER,19
2009,"GROCERY FOOD STORE",14
2009,YARD,13
2009,PORCH,13
2010,STREET,298
2010,AUTO,61
2010,APARTMENT,51
2010,HOUSE,36
2010,ALLEY,34
2010,SIDEWALK,27
2010,OTHER,22
2010,RESIDENCE,15
2010,YARD,13
2010,PORCH,11
2011,STREET,291
2011,AUTO,52
2011,APARTMENT,48
2011,OTHER,24
2011,ALLEY,22
2011,HOUSE,20
2011,SIDEWALK,17
2011,RESIDENCE,16
2011,YARD,15
2011,PORCH,15
2012,STREET,340
2012,APARTMENT,58
2012,AUTO,56
2012,ALLEY,42
2012,PORCH,23
2012,OTHER,22
2012,HOUSE,22
2012,RESIDENCE,20
2012,SIDEWALK,20
2012,YARD,11
2013,STREET,307
2013,APARTMENT,46
2013,AUTO,31
2013,SIDEWALK,29
2013,ALLEY,26
2013,RESIDENCE,25
2013,OTHER,20
2013,HOUSE,19
2013,YARD,18
2013,PORCH,11
2014,STREET,271
2014,APARTMENT,54
2014,ALLEY,39
2014,HOUSE,27
2014,SIDEWALK,24
2014,AUTO,23
2014,PORCH,21
2014,RESIDENCE,19
2014,OTHER,19
2014,YARD,11
2015,STREET,338
2015,AUTO,54
2015,HOUSE,41
2015,ALLEY,29
2015,APARTMENT,28
2015,RESIDENCE,20
2015,SIDEWALK,19
2015,PORCH,14
2015,YARD,14
2015,"PARK PROPERTY",13
2016,STREET,498
2016,AUTO,87
2016,APARTMENT,71
2016,ALLEY,51
2016,HOUSE,47
2016,SIDEWALK,32
2016,PORCH,19
2016,RESIDENCE,18
2016,OTHER,16
2016,YARD,15
